source_name,event_date,event_title,event_description,location_description,location_accuracy_km,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,event_import_source,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,gazetteer_distance,year,month,season,severity
International Business Times,2014-09-04,Mandi belt along LoC,BSF Inspector Mohammad Rashid was buried in his bunker when debris fell over it after landslide hit Mandi belt along LoC in Poonch districts.,Mandi belt along LoC,25.0,landslide,rainfall,2.0,unknown,1.0,GLC,33.798,74.2562,0,Jammu and Kashmir,Rajpur,1.83,2014,9,monsoon,medium
Nyoooz,2017-04-05,Landslide blocks NH-34,"Night of heavy rains and snowfall triggers landslide that blocks road at Bhatwari, strands family in car for night","Bhatwari, Uttarkashi, Uttarakhand, India",1.0,landslide,rainfall,1.0,infrastructure,0.0,GLC,30.81350174,78.6179215,0,Uttaranchal,Uttarkashi,19.23,2017,4,non_monsoon,low
www.business-standard.com,2013-06-16,"7 Km Of Road, Between Kasang And Akpa","The statement, quoting the chief minister, said heavy damage was reported in various parts of the state due to incessant rains, landslides and snow, particularly in remote Kinnaur, where maximum loss of life, damage to roads and property had been reported in the state. He said landslides affecting approximately seven km of road length occurred in Kasang and Akpa and about 30 breaches -- totalling about 1.5 km -- have damaged the roads.","7 Km Of Road, Between Kasang And Akpa",5.0,landslide,rainfall,2.0,unknown,0.0,GLC,31.348,77.4614,0,Himachal Pradesh,Rampur,20.74,2013,6,monsoon,low
nepaldisaster,2009-11-05,"Bukhel VDC-9, Lalitpur district (","In Lalitpur, a man was buried and two were injured due to a landslip in Bukhel VDC-9 of the district on 5th November evening. The incident occurred while a dozer was returning after constructing the road along the Bukhel-Ikudole section. Gobinda Humagain of the village has gone missing due to the accident while Bishal Timilsina of Bukhel and Gopal Ghimire of Ikudole-9 were injured. Bishnu Kshetri, In-charge of Metropolitan Police Circle, Chapagaun, said search for the missing one has been carried out next morning","Bukhel VDC-9, Lalitpur district (",25.0,landslide,rainfall,2.0,unknown,1.0,GLC,27.5,85.35,1,Bagmati,Nepal,15.25,2009,11,non_monsoon,medium
The Kathmandu Post,2018-05-13,Tatopani Landslide Buries Three Houses,"In Myagdi district, a landslide triggered by heavy rainfall buried three houses at Tatopani on Sunday. Twelve other houses in the area were also partially affected. Police said though there was no human casualty, several families were in need of rescue and relief. Local Red Cross office said 22 households were hit by the landslide.","Tatopani, Bagmati",1.0,landslide,rainfall,2.0,natural,0.0,GLC,27.97999198,85.92966652,1,Bagmati,Barahbise,21.46,2018,5,non_monsoon,low
Times of India,2011-08-07,Gumma on Pathankot-Mandi national highway,"Landslides triggered by incessant rains in Mandi district of Himachal Pradesh blocked Pathankot-Mandi and Chandigarh-Manali national highways for many hours on Sunday.  A massive landslide in Gumma on Pathankot-Mandi national highway No 20 blocked the road at around 1 am on Saturday-Sunday night. Traffic on the highway could be restored after about 12 hours on Sunday. Another landslide near Hanogi temple in Mandi had blocked the Manali highway at 10 pm on Saturday night.  The debris was removed within a few hours, but heavy downpour in Shambal village added to the debris of Saturday's cloudburst and again blocked the highway for more than two hours on Sunday morning. A huge rock came down on the highway near Mandi town at 7 am, which could be removed only after efforts of spanning over two hours.",Gumma on Pathankot-Mandi national highway,5.0,landslide,rainfall,2.0,unknown,0.0,GLC,31.2403,77.9258,0,Himachal Pradesh,Saura,21.08,2011,8,monsoon,low
Kathmandu Post,2015-11-11,Dibrung-3 in Galcheda in Gulmi district,Three members of a same family were killed when their house was swept away by rainfall-triggered landslide at Dibrung-3 in Galcheda in Gulmi district on early Tuesday morning.,Dibrung-3 in Galcheda in Gulmi district,25.0,landslide,rainfall,2.0,unknown,3.0,GLC,28.1281,83.3841,1,Lumbini,Nisi Khola,9.29,2015,11,non_monsoon,medium
ibnlive.in.com,2013-06-17,"Rambara District, Uttarakhand","The Dehradun Met department says the state capital received a record 340 mm of rainfall on Monday and the Met department has forecast more heavy rains in the next 24 hours. Several roads, including the National Highway 24, have been blocked to avoid any more traffic jams. Landslides have been continuing in various parts of the state. Cloudbursts and landslips killed 13 at Rambara in the district, they said adding a number of people were reported missing. Seventy-three houses were totally damaged in Rudraprayag, 60 in Pithoragarh, 19 in Uttarkashi, 10 in Dehradun and one each in Tehri and Bageshwar. (2nd article) Surrounded by dense green forest, with a waterfall nearby, the tiny village of Rambara was the most popular resting place for devotees trekking to Kedarnath from Gaurikund. But the flash floods that caused death and destruction at Kedarnath on June 16-17 spared none in Rambara. Nothing is left there, just nothing. The entire area, which housed around 100-150 shops and five hote","Rambara District, Uttarakhand",1.0,landslide,rainfall,3.0,unknown,13.0,GLC,30.6945,79.0544,0,Uttaranchal,Gaundar,14.65,2013,6,monsoon,high
Mizoram Express,2010-09-13,"Tuikual 'C', Aizawl, Mizoram","Landslide triggered by heavy rain in Tuikual ‘C’ on Monday killed a woman, R. Laltanpuii.  According to Aizawl Police sources, the landslide buried the woman while she was collecting water with her friend. Luckily, her friend who was nearby her escaped unhurt.  The dead body was handed over to her relatives after post mortem examination in Aizawl Civil Hospital. ","Tuikual 'C', Aizawl, Mizoram",1.0,landslide,rainfall,2.0,human_modified,1.0,GLC,23.72988966,92.71495623,0,Mizoram,Aizwal,9.51,2010,9,monsoon,medium
Kashmir Life,2015-04-05,"Wadpora, Budgam near Vidyala School","Four houses collapsed, inmates were already evacuated no loss of life","Wadpora, Budgam near Vidyala School",25.0,landslide,rainfall,2.0,unknown,0.0,GLC,33.9243,74.6163,0,Jammu and Kashmir,Kasba,16.25,2015,4,non_monsoon,low
thehimalayantimes,2011-07-01,"Butwal-Palpa, Palpa-Ramdi, and Tansen-Tamghas sections of Siddhartha Highway","DAMAULI: Rain-triggered floods and landslides have killed at least 10 persons in western hill districts of Tanahun, Palpa and Arghakhanchi in the last two days.   In Palpa, Sunita BK (25) and Sirjana BK (20) of Palung Mainadi-6 died today after a landslide swept away the farmhouse they were sleeping in.   In a separate incident today, a landslide at Sisuwakhola of Masyam-5, Palpa killed Dharma Raj Bhandari (28) of Madhouliya, Rupandehi.   Two women were killed by landslides in Hansapur-1 and Hansapur-6 of Arghakhanchi. Identifications of the women were yet to be ascertained, said the police.   In Tanahun, Gomaya Thapa and her 14-day-old baby died when her house caved in following incessant rain in Palyang of Rishing Ranipokhari-7 yesterday. In another incident the same day, Hari Kumar Shrestha (44) and Gita Shrestha (14) died while they were crossing a river in Rishing Ranipokhari. Dipendra Shrestha (16) has also been missing in the river since yesterday.   The same day, Phaldikhola sw","Butwal-Palpa, Palpa-Ramdi, and Tansen-Tamghas sections of Siddhartha Highway",25.0,landslide,rainfall,2.0,unknown,0.0,GLC,27.7,83.45,1,Lumbini,Butwal,1.12,2011,7,monsoon,low
Business Standard,2018-09-02,Sundrasi Landslide,One woman died on the way to Manimahesh due to a landslide at Sundrasi triggered by heavy rains.,"Sundrasi, Bharmour, Chamba, Himachal Pradesh",10.0,landslide,rainfall,2.0,infrastructure,1.0,GLC,32.44155342,76.53467166,0,Himachal Pradesh,Bara Bangahol,27.86,2018,9,monsoon,medium
thehimalayantimes,2010-08-29,"Batase and Sisne villages, Lelep VDC, ","2010-08-31 12:22 PM  TAPLEJUNG: Landslides triggered by heavy rainfall since the past few days in Lelep VDC of the district has put 45 houses at the risk of being buried.  The landslides that occurred at around 10:00 pm on Sunday night has affected the residents of Batase and Sisne villages of the VDC with around 45 houses at high risk of being swept away.  Maize, millet and cardamom crops near the village have also been destroyed in the landslide causing huge loss to the farmers, local resident Prakash Fungjela said.  Likewise, the landslide has also polluted water sources in the villages and thereby increases the risk of spread of diseases like diarrhoea.","Batase and Sisne villages, Lelep VDC, ",25.0,landslide,rainfall,2.0,unknown,0.0,GLC,27.7276,88.0446,1,Mechi,Gonpatang,33.23,2010,8,monsoon,low
indianexpress,2011-08-15,"East Kameng, Arunachal Pradesh","landslides triggered off by heavy rain cutting off road communication in several districts of Arunachal Pradesh The situation has been particularly cut off in the East Kameng district in western Arunachal Pradesh, where incessant rains have played havoc with people's lives, washing away roads and disrupting power supply","East Kameng, Arunachal Pradesh",50.0,landslide,rainfall,2.0,unknown,0.0,GLC,27.4888,93.0153,0,Arunachal Pradesh,Norang,11.5,2011,8,monsoon,low
The Indian Express,2016-08-07,Kheri near Udhampur,"The Jammu-Srinagar national highway remained closed for most part of the day, since 3 am Sunday, due to landslides. However, one way traffic was restored in the evening as Border Roads Organisation personnel were busy clearing landslides at Kheri near Udhampur.",Kheri near Udhampur,25.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,32.9041,75.0911,0,Jammu and Kashmir,Udhampur,4.08,2016,8,monsoon,low
ibnlive.in,2012-04-24,"Srinagar-Jammu Highway, Ramban, jammu","The 300-km Jammu-Srinagar National Highway today witnessed heavy traffic jams due to closure of the highway following landslides triggered by heavy rains in Ramban district of Jammu and Kashmir. There were two landslides in Seeri area on the highway in Ramban district resulting in closure of the highway for several hours today, officials said. Due to closure of the highway, heavy traffic jams for several hours were witnessed all along the road in Ramban-Udhampur section due to stranded traffic, they said. The men and machines of Border Roads Organisation (BRO) cleared the landslides around 1630 hours, they said, adding, the traffic was restored on the highway but there is heavy traffic jam in view of the slow movement of the traffic.","Srinagar-Jammu Highway, Ramban, jammu",5.0,landslide,rainfall,2.0,unknown,0.0,GLC,33.2413,75.2381,0,Jammu and Kashmir,Chaunkri,20.45,2012,4,non_monsoon,low
thehimalayantimes,2011-07-15,Sindhupalchowk,"CHAUTARA: A landslide swept away a house at Kavre-4 in Sindhupalchowk on Friday night, causing a loss of property worth Rs 400,000.  The house and shed of Ram Krishna Bishwokarma was swept away by the landslide, police said.  According to the District Police Office, two buffaloes, nine goats and half a dozen hens were killed by the landslide. A rescue team of police and local residents are working for the rehabilitation of the victim family. ",Sindhupalchowk,5.0,landslide,rainfall,1.0,unknown,0.0,GLC,27.9512,85.6846,1,Bagmati,Barahbise,27.95,2011,7,monsoon,low
Indian Express,2016-03-26,Jammu-Srinagar national highway,"Five people were feared dead and five others were injured as landslides triggered by incessant rains lashed Jammu region blocking Jammu-Srinagar and Batote-Doda national highways on Thursday. Giving details, sources said that a Jammu bound TATA Sumo carrying eight people from Shopian fell into a swollen nullah after it was hit by shooting stones near Gangroo. Rescue operations launched by the police and para military personnel managed to fish out a body and rescue four others in injured condition till evening. Of the injured, one succumbed to injuries at the hospital, while remaining three passengers were reportedly missing. The police identified the deceased as Mohammad Sikander Mir and Hajat Mir, besides the missing ones Abdul Rehman, Mohammad Hussain Mir and Ashraf Bhat, all residents of Shopian. Three injured have been identified as Ghulam Mohammad Mir, Reyaz Mir, both brothers, besides driver of the ill-fated vehicle Manzoor Ahmed.",Jammu-Srinagar national highway,5.0,landslide,rainfall,2.0,infrastructure,5.0,GLC,33.04965334,75.29048614,0,Jammu and Kashmir,Udhampur,20.68,2016,3,non_monsoon,medium
The Tribune India,2018-08-18,Kullu-Manali Highway Landslide,A landslide near Ramshila blocked the Kullu-Manali highway for multiple hours. Traffic was blocked. They are cutting hills along the road to expand the highway which was likely the cause.,Along the Kullu-Manali Highway near Raison,10.0,landslide,construction,2.0,infrastructure,0.0,GLC,32.06073251,77.13301333,0,Himachal Pradesh,Shirir,2.24,2018,8,monsoon,low
